SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,900 Bush St #318,San Francisco,CA,94109,699000,1,1,Downtown,598,,1982,10,1169,853,Active,November-4-2018 02:00 PM,November-4-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/900-Bush-St-94109/unit-318/home/1626476,San Francisco MLS,475961,N,Y,37.7899818,-122.4125107
MLS Listing,,Multi-Family (2-4 Unit),1282-1284 38th Ave,San Francisco,CA,94122,1500000,4,2,Outer Sunset,2150,2375,1947,10,698,,Active,,,http://www.redfin.com/CA/San-Francisco/1282-38th-Ave-94122/home/1324639,San Francisco MLS,477933,N,Y,37.7630263,-122.4972236
MLS Listing,,Single Family Residential,66 Bishop St,San Francisco,CA,94134,589900,1,1,San Francisco County,480,2500,1922,11,1229,,Active,November-3-2018 01:00 PM,November-3-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/66-Bishop-St-94134/home/1807745,BAREIS,21827524,N,Y,37.7182479,-122.4045501
MLS Listing,,Condo/Co-op,99 Carmelita St,San Francisco,CA,94117,1949000,3,2,Hayes Valley,2029,,1900,11,961,341,Active,November-4-2018 02:30 PM,November-4-2018 04:30 PM,http://www.redfin.com/CA/San-Francisco/99-Carmelita-St-94117/home/1866153,San Francisco MLS,477908,N,Y,37.7705428,-122.4345054
MLS Listing,,Single Family Residential,1047 Lombard St,San Francisco,CA,94109,5375000,5,5,Russian Hill,5385,,1948,11,998,,Active,November-4-2018 10:00 AM,November-4-2018 12:00 PM,http://www.redfin.com/CA/San-Francisco/1047-Lombard-St-94109/home/539661,San Francisco MLS,477961,N,Y,37.8018926,-122.4187036
MLS Listing,,Single Family Residential,800 27th Ave,San Francisco,CA,94121,1895000,5,4,Central Richmond,,2500,1935,11,,,Active,November-4-2018 02:00 PM,November-4-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/800-27th-Ave-94121/home/2026966,San Francisco MLS,477751,N,Y,37.774208,-122.486163
MLS Listing,,Condo/Co-op,257 N Lake Merced Hls,San Francisco,CA,94132,1249000,3,2.5,Lake Merced,1904,1125,1975,11,656,622,Active,,,http://www.redfin.com/CA/San-Francisco/257-N-Lake-Merced-Hls-94132/home/1599876,Bridge MLS,40843445,N,Y,37.712635,-122.481353
MLS Listing,,Condo/Co-op,666 Castro St,San Francisco,CA,94114,1695000,3,2,Eureka Valley/Dolore,1500,,1886,11,1130,150,Active,November-3-2018 02:00 PM,November-3-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/666-Castro-St-94114/home/49743010,San Francisco MLS,477948,N,Y,37.7582438,-122.4351171
MLS Listing,,Condo/Co-op,88 King St #510,San Francisco,CA,94107,1375000,2,2,South Beach,1179,,2000,11,1166,1039,Active,November-3-2018 02:00 PM,November-3-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/88-King-St-94107/unit-510/home/1160727,San Francisco MLS,477946,N,Y,37.7806904,-122.3892201
MLS Listing,,Condo/Co-op,750 Van Ness Ave #1104,San Francisco,CA,94102,499000,0,1,Van Ness/Civic Center,,,,11,,537,Active,November-3-2018 02:00 PM,November-3-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/750-Van-Ness-Ave-94102/unit-1104/home/17306065,San Francisco MLS,477955,N,Y,37.7823788,-122.4201632
